"SourceProcedureId","FileId","FileName","FilePath","BucketName","ComponentName","Downloaded","LocalFile","Note"
"019d7c74-f1ec-7469-bced-e9178d3beb91","","Mẫu 4.docx","configuring/019d7c76-1e31-771c-ab18-80c322b71be5/Mẫu 4.docx","dvc","- Dự toán kinh phí chi tiết Chương trình (Mẫu 4)","False","",""
"019f68b7-3349-779e-afc4-d1801f6b64f0","","Mẫu số 24.docx","configuring/019f5f7f-576f-720f-b10f-bf423df71c4f/Mẫu số 24.docx","dvc","Mẫu số 24. Đơn đăng ký biến động đất đai, tài sản gắn liền với đất","False","",""
"019f4a04-a1a7-75ff-9a38-2d55d24cc1fc","","mẫu số 24.docx","configuring/019f5a9c-b378-770b-b0d4-39b92c6689f3/mẫu số 24.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND","False","",""
"019f45b0-208f-778c-9e83-204c2466204d","","mẫu số 24.docx","configuring/019f5996-4826-73f2-9759-8ac125f7e51c/mẫu số 24.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND","False","",""
"019f135c-5bdc-737c-800d-cfe4ec2cdade","","Mẫu số_ 18.docx","configuring/019f12b1-fe36-754c-ab96-26c06beec501/Mẫu số_ 18.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 18 ban hành kèm theo Quyết định số 104/2026/QĐ-UBND của UBND tỉnh","False","",""
"019f59c2-7ecd-7609-a25b-4e44530ac98c","","Mẫu 24.pdf","configuring/019f56d5-36b1-773f-90b8-ae5ab998156c/Mẫu 24.pdf","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 Phụ lục số 04 ban hành kèm theo Quyết định số 52/2026/QĐ-UBND","False","",""
"019d7652-8edf-748f-bd50-94c79f706f5c","","Maudon-DenghiCapphepthicong.docx","configuring/019d7663-7d71-72bb-a637-ef9e5c01d7eb/Maudon-DenghiCapphepthicong.docx","dvc","Đơn đề nghị cấp phép thi công công trình theo mẫu tại Phụ lục 2 ban hành kèm theo Quyết định số 11/2026/QĐ-UBND ngày 11 tháng 02 năm 2026 của Ủy ban nhân dân tỉnh Vĩnh Long","False","",""
"019f4a07-c468-760b-964c-e6b117200151","","mẫu số 28.docx","configuring/019f5aa7-4185-716a-91a7-4d402466be0a/mẫu số 28.docx","dvc","Bản vẽ tách thửa đất, hợp thửa đất theo Mẫu số 28 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND đối với trường hợp đăng ký biến động đất đai mà phải tách thửa đất, hợp thửa đất","False","",""
"019d2bfe-88a9-71ce-8a6a-818481b46c49","","Phiếu đề nghị cấp quyền.docx","configuring/019f1bf2-e15d-720c-ac0c-c1ad3fc7c0e3/Phiếu đề nghị cấp quyền.docx","dvc","- Phiếu đề nghị cấp quyền khai thác thông tin, dữ liệu về nhà ở và thị trường bất động sản","False","",""
"019efcd4-c579-7490-91cc-39d538a137c5","","MẪU 04.docx","configuring/019efda9-4ee8-71ca-82fb-fbcb7f7318db/MẪU 04.docx","dvc","Đơn đề nghị gia hạn giấy phép xây dựng theo Mẫu số 04 Phụ lục ban hành kèm theo Nghị quyết số 38/2025/NQ-HĐND","False","",""
"019d2bfe-88ac-71f9-b970-b83cf0372841","","DON DANG KY MUA THUE MUA NOXH NOLLVT ND 136.docx","configuring/019d9a9d-cce2-753f-badb-a9a27f386140/DON DANG KY MUA THUE MUA NOXH NOLLVT ND 136.docx","dvc","+ Đơn đăng ký thuê mua nhà ở xã hội theo mẫu;","False","",""
"019d7c74-f1ec-7469-bced-e9178d3beb91","","Mẫu 3.docx","configuring/019d7c75-dda1-730c-bfa4-91b4f6ee0ef3/Mẫu 3.docx","dvc","- Nội dung chi tiết Chương trình (Mẫu 3)","False","",""
"019f4a07-c468-760b-964c-e6b117200151","","mẫu số 24.docx","configuring/019f5aaf-8a16-76bd-8a5b-9868971d1f4e/mẫu số 24.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND","False","",""
"019d2bfe-22d0-73e6-85cf-a528d0e8b434","","MẪU ĐƠN ĐỀ NGHỊ CẤP, CẤP LẠI CHỨNG CHỈ KIỂM ĐỊNH VIÊN.docx","configuring/019d703c-c14d-76be-a202-6fb3d4ab0c4a/MẪU ĐƠN ĐỀ NGHỊ CẤP, CẤP LẠI CHỨNG CHỈ KIỂM ĐỊNH VIÊN.docx","dvc","- Đơn đề nghị cấp chứng chỉ kiểm định viên;","False","",""
"019d2bf7-cd1a-71cf-91aa-fb5e582e07eb","","PC11.docx","configuring/019dcf83-00aa-750f-aa38-74c03e1df097/PC11.docx","dvc","Bản chính văn bản đề nghị kiểm tra kết quả nghiệm thu về phòng cháy và chữa cháy (Mẫu số PC11 ban hành kèm theo   Nghị định số 50/2024/NĐ-CP ngày 10/05/2024 của Chính phủ).","False","",""
"019d2bf9-83fc-70e3-9c5c-371ee9f8f762","","Mau so 07-PL09-Bao cao phan tich an toan (Xay dung co so buc xa).docx","configuring/019db026-2323-770f-8247-411ddba8f162/Mau so 07-PL09-Bao cao phan tich an toan (Xay dung co so buc xa).docx","dvc","2. Báo cáo phân tích an toàn có thiết kế và tính toán bảo vệ bức xạ (chiếu ngoài và chiếu trong) bảo đảm mức liều chiếu xạ tiềm năng đối với nhân viên bức xạ và công chúng không vượt quá giá trị liều giới hạn theo quy định. Báo cáo phân tích an toàn theo mẫu quy định tại Phụ lục IX ban hành kèm theo Nghị định số 332/2025/NĐ-CP.","False","",""
"019d2bfe-985c-732b-822b-460f2199467e","","PhulucTT 05 2024 BXD mau so 03 XACNHAN DIEUKIEN NHA O dientich duoi 15m2.docx","configuring/019e2b27-df82-752b-b822-02f35867cd84/PhulucTT 05 2024 BXD mau so 03 XACNHAN DIEUKIEN NHA O dientich duoi 15m2.docx","dvc","Giấy tờ chứng minh điều kiện về nhà ở để được mua, thuê mua nhà ở xã hội/nhà ở cho lực lượng vũ trang nhân dân (trường hợp có nhà ở nhưng diện tích nhà ở bình quân đầu người thấp hơn 15m2 sàn/người).","False","",""
"019d2bfe-3a96-7278-9a81-accb6d26ff75","","mẫu đơn đề nghị_6 (1).docx","configuring/019dd8f2-02c3-72ea-93aa-62cab85e89ee/mẫu đơn đề nghị_6 (1).docx","dvc","- Bản chính hoặc biểu mẫu điện tử Đơn đề nghị của chủ đầu tư hoặc người khai thác theo Mẫu số 31 quy định tại Phụ lục ban hành kèm theo Nghị định 58/2017/NĐ-CP","False","",""
"019d2bfe-80fb-711b-a5f0-faff2871a7ae","","DON DANG KY MUA THUE MUA NOXH NOLLVT ND 136.docx","configuring/019d9a89-dca9-71fd-9751-b87dfbf8539e/DON DANG KY MUA THUE MUA NOXH NOLLVT ND 136.docx","dvc","+ Đơn đăng ký thuê mua nhà ở cho lực lượng vũ trang nhân dân;","False","",""
"019dfd33-32dd-76cc-815b-edcf0b2fc72d","","Mẫu 1.4. BCTT Cá nhân.docx","configuring/019dfd30-8299-74b7-b6fa-12f36e68747f/Mẫu 1.4. BCTT Cá nhân.docx","dvc","- Tờ trình đề nghị xét tặng Giấy khen của Thủ trưởng cơ quan, đơn vị có tư cách pháp nhân thuộc Bộ Xây dựng; - Báo cáo thành tích của đối tượng đề nghị khen thưởng; - Biên bản xét khen thưởng của tập thể cơ quan, đơn vị hoặc Hội đồng Thi đua - Khen thưởng các cấp; b)	Số lượng hồ sơ: 01 bộ","False","",""
"019d2bfe-985c-732b-822b-460f2199467e","","Mau so 01 XACNHAN DOITUONG k9 10 11 D76 LNO.docx","configuring/019e3a53-3bca-74c5-bee3-ba8cea11e320/Mau so 01 XACNHAN DOITUONG k9 10 11 D76 LNO.docx","dvc","Giấy tờ chứng minh đối tượng được hưởng chính sách hỗ trợ về nhà ở xã hội (áp dụng cho các đối tượng quy định tại các khoản 9, 10, 11 Điều 76 của Luật Nhà ở và đối tượng quy định tại khoản 5 Điều 76 của Luật Nhà ở không có hợp đồng lao động, không được hưởng lương hưu do cơ quan Bảo hiểm xã hội chi trả).","False","",""
"019d9470-d602-74af-bda4-ba78a71b3f07","","Mus01Q.docx","configuring/019d8b15-0b31-772d-868d-10f7d9d92ace/Mus01Q.docx","dvc","- Đăng ký kiểm tra nhà nước về chất lượng hàng hóa vật liệu xây dựng nhập khẩu theo Mẫu số 01 của Quyết định này;","False","",""
"019d2bfe-985c-732b-822b-460f2199467e","","phuluc TT05 BXD 31 7 2024 Mauso06 GIAYTOCHUNGMINH DIEUKIEN VAYVON UUDAI NHCSXH.docx","configuring/019e2b31-88de-771e-aee6-db876796e5f2/phuluc TT05 BXD 31 7 2024 Mauso06 GIAYTOCHUNGMINH DIEUKIEN VAYVON UUDAI NHCSXH.docx","dvc","Giấy tờ chứng minh điều kiện vay vốn ưu đãi của Nhà nước thông qua Ngân hàng Chính sách xã hội để hộ gia đình, cá nhân tự xây dựng hoặc cải tạo, sửa chữa nhà ở.","False","",""
"019efccc-0df7-722d-b407-650745f8ccd4","","Mẫu số 02.docx","configuring/019efda4-51c3-700e-abcf-86dc395ffbb4/Mẫu số 02.docx","dvc","Đơn đề nghị cấp giấy phép xây dựng công trình trên đất nông nghiệp tại các vùng sản xuất nông nghiệp tập trung đã được cơ quan có thẩm quyền phê duyệt (theo Mẫu số 02 Phụ lục ban hành kèm theo Nghị quyết)","False","",""
"019f4a07-c468-760b-964c-e6b117200151","","mẫu số 24.docx","configuring/019f5aa6-454c-747a-b7a4-29dfaaf9cd4e/mẫu số 24.docx","dvc","Đơn đăng ký biến động đất đai, tài sản gắn liền với đất theo Mẫu số 24 ban hành kèm theo Quyết định số 47/2026/QĐ-UBND","False","",""
